Code;Libellé;Médiane du niveau de vie 2021
02200;Clermont-les-Fermes;N/A - résultat non disponible
02201;Cœuvres-et-Valsery;24510
02203;Coincy;20580
02204;Coingt;N/A - résultat non disponible
02205;Colligis-Crandelain;22400
02206;Colonfay;N/A - résultat non disponible
02207;Commenchon;23680
02208;Concevreux;24070
02209;Condé-en-Brie;22080
02210;Condé-sur-Aisne;22960
02211;Condé-sur-Suippe;22530
02212;Condren;22270
02213;Connigis;22390
02214;Contescourt;N/A - résultat non disponible
02215;Corbeny;22490
02216;Corcy;24090
02217;Coucy-le-Château-Auffrique;22120
02218;Coucy-lès-Eppes;22440
02219;Coucy-la-Ville;20440
02220;Coulonges-Cohan;22040
02221;Coupru;24820
02222;Courbes;N/A - résultat non disponible
02223;Courboin;21900
02224;Courcelles-sur-Vesle;21440
02225;Courchamps;N/A - résultat non disponible
02226;Courmelles;22730
02227;Courmont;22630
02228;Courtemont-Varennes;21750
02229;Courtrizy-et-Fussigny;N/A - résultat non disponible
02230;Couvrelles;21890
02231;Couvron-et-Aumencourt;20170
02232;Coyolles;22930
02233;Cramaille;22370
02234;Craonne;N/A - résultat non disponible
02235;Craonnelle;20300
02236;Crécy-au-Mont;20610
02237;Crécy-sur-Serre;20300
02238;Crépy;20740
02239;Crézancy;20650
02240;Croix-Fonsomme;21140
02241;La Croix-sur-Ourcq;N/A - résultat non disponible
02242;Crouttes-sur-Marne;23730
02243;Crouy;20820
02244;Crupilly;N/A - résultat non disponible
02245;Cuffies;21430
02246;Cugny;21670
02248;Cuirieux;18830
02249;Cuiry-Housse;23420
02250;Cuiry-lès-Chaudardes;N/A - résultat non disponible
02251;Cuiry-lès-Iviers;N/A - résultat non disponible
02252;Cuissy-et-Geny;N/A - résultat non disponible
02253;Cuisy-en-Almont;24260
02254;Cutry;24460
02255;Cys-la-Commune;20660
02256;Dagny-Lambercy;20490
02257;Dallon;27180
02258;Dammard;22140
02259;Dampleux;25610
02260;Danizy;19930
02261;Dercy;21950
02262;Deuillet;22500
02263;Dhuizel;23820
02264;Dizy-le-Gros;19340
02265;Dohis;N/A - résultat non disponible
02266;Dolignon;N/A - résultat non disponible
02267;Dommiers;23120
02268;Domptin;24440
02269;Dorengt;21180
02270;Douchy;21140
02271;Dravegny;18840
02272;Droizy;N/A - résultat non disponible
02273;Dury;22730
02274;Ébouleau;20730
02275;Effry;16390
02276;Englancourt;22940
02277;Épagny;21260
02278;Éparcy;N/A - résultat non disponible
02279;Épaux-Bézu;24860
02280;Épieds;24460
02281;L'Épine-aux-Bois;24210
02282;Eppes;21000
02283;Erlon;19790
02284;Erloy;N/A - résultat non disponible
02286;Esquéhéries;21000
02287;Essigny-le-Grand;24790
02288;Essigny-le-Petit;21550
02289;Essises;24830
02290;Essômes-sur-Marne;23660
02291;Estrées;21190
02292;Étampes-sur-Marne;21900
02293;Étaves-et-Bocquiaux;21120
02294;Étouvelles;25310
02295;Étréaupont;19530
02296;Étreillers;23170
02297;Étrépilly;23220
02298;Étreux;19940
02299;Évergnicourt;22270
02302;Faverolles;24050
02303;Fayet;32330
02304;La Fère;16210
02305;Fère-en-Tardenois;19780
02306;La Ferté-Chevresis;20600
02307;La Ferté-Milon;22930
02308;Fesmy-le-Sart;19670
02309;Festieux;21460
02310;Fieulaine;23300
02311;Filain;22350
02312;La Flamengrie;21260
02313;Flavigny-le-Grand-et-Beaurain;21670
02315;Flavy-le-Martel;21150
02316;Fleury;26560
02317;Fluquières;26590
02318;Folembray;20330
02319;Fonsomme;20590
02320;Fontaine-lès-Clercs;26300
02321;Fontaine-lès-Vervins;22120
02322;Fontaine-Notre-Dame;24950
02323;Fontaine-Uterte;23020
02324;Fontenelle;21680
02326;Fontenoy;23650
02327;Foreste;18850
02328;Fossoy;24890
02329;Fourdrain;24060
02330;Francilly-Selency;26360
02331;Franqueville;20060
02332;Fresnes-en-Tardenois;22610
02333;Fresnes-sous-Coucy;20060
02334;Fresnoy-le-Grand;19180
02335;Fressancourt;22200
02336;Frières-Faillouël;23400
02337;Froidestrées;21010
02338;Froidmont-Cohartille;21240
02339;Gandelu;23210
02340;Gauchy;20850
02341;Gercy;22290
02342;Gergny;22010
02343;Germaine;N/A - résultat non disponible
02345;Gibercourt;N/A - résultat non disponible
02346;Gizy;21480
02347;Gland;25850
02349;Goudelancourt-lès-Berrieux;N/A - résultat non disponible
02350;Goudelancourt-lès-Pierrepont;20470
02351;Goussancourt;24670
02352;Gouy;20460
02353;Grandlup-et-Fay;21860
02354;Grandrieux;N/A - résultat non disponible
02355;Gricourt;24170
02356;Grisolles;20880
02357;Gronard;N/A - résultat non disponible
02358;Grougis;20440
02359;Grugies;22150
02360;Villeneuve-sur-Aisne;23040
02361;Guise;17320
02362;Guivry;23070
02363;Guny;21020
02364;Guyencourt;25500
02366;Hannapes;19940
02367;Happencourt;23430
02368;Haramont;22430
02369;Harcigny;18870
02370;Hargicourt;21310
02371;Harly;21470
02372;Hartennes-et-Taux;22960
02373;Hary;23070
02374;Lehaucourt;19980
02375;Hautevesnes;24030
02376;Hauteville;23470
02377;Haution;19340
02378;La Hérie;20120
02379;Le Hérie-la-Viéville;19680
02380;Hinacourt;N/A - résultat non disponible
02381;Hirson;16460
02382;Holnon;23890
02383;Homblières;25090
02384;Houry;N/A - résultat non disponible
02385;Housset;19820
02386;Iron;19670
02387;Itancourt;24980
02388;Iviers;19850
02389;Jaulgonne;22640
02390;Jeancourt;22430
02391;Jeantes;20940
02392;Joncourt;23280
02393;Jouaignes;22980
02395;Jumencourt;22350
02396;Jumigny;N/A - résultat non disponible
02397;Jussy;21880
02398;Juvigny;22680
02399;Juvincourt-et-Damary;23300
02400;Laffaux;20710
02401;Laigny;22620
02402;Lanchy;N/A - résultat non disponible
02403;Landifay-et-Bertaignemont;18960
02404;Landouzy-la-Cour;22660
02405;Landouzy-la-Ville;21980
02406;Landricourt;24000
02407;Laniscourt;24570
02408;Laon;18000
02409;Lappion;21020
02410;Largny-sur-Automne;27080
02411;Latilly;23690
02412;Launoy;N/A - résultat non disponible
02413;Laval-en-Laonnois;25020
02414;Lavaqueresse;20140
02415;Laversine;25870
02416;Lemé;19550
02417;Lempire;21140
02418;Lerzy;21980
02419;Leschelle;24190
02420;Lesdins;25460
02421;Lesges;N/A - résultat non disponible
02422;Lesquielles-Saint-Germain;19450
02423;Leuilly-sous-Coucy;23010
02424;Leury;24490
02425;Leuze;20640
02426;Levergies;22780
02427;Lhuys;20630
02428;Licy-Clignon;N/A - résultat non disponible
02429;Lierval;24400
02430;Liesse-Notre-Dame;20300
02431;Liez;21450
02432;Limé;22500
02433;Lislet;20650
02435;Logny-lès-Aubenton;N/A - résultat non disponible
02438;Longpont;23520
02439;Les Septvallons;22130
02440;Lor;21380
02441;Louâtre;24490
02442;Loupeigne;N/A - résultat non disponible
02443;Lucy-le-Bocage;26090
02444;Lugny;20060
02445;Luzoir;21120
02446;Ly-Fontaine;23530
02447;Maast-et-Violaine;20230
02448;Mâchecourt;20690
02449;Macogny;N/A - résultat non disponible
02450;Macquigny;18980
02451;Magny-la-Fosse;20670
02452;Maissemy;24660
02453;Maizy;22110
02454;La Malmaison;21430
02455;Malzy;22820
02456;Manicamp;20770
02457;Marchais;19640
02458;Dhuys et Morin-en-Brie;23090
02459;Marcy;30430
02460;Marcy-sous-Marle;20840
02461;Marest-Dampcourt;22600
02462;Mareuil-en-Dôle;21480
02463;Marfontaine;N/A - résultat non disponible
02464;Margival;22820
02465;Marigny-en-Orxois;22820
02466;Marizy-Sainte-Geneviève;23910
02467;Marizy-Saint-Mard;N/A - résultat non disponible
02468;Marle;18670
02469;Marly-Gomont;18610
02470;Martigny;18720
02471;Martigny-Courpierre;22900
02472;Mauregny-en-Haye;20880
02473;Mayot;21250
02474;Mennessis;21470
02476;Mennevret;19330
02477;Mercin-et-Vaux;25170
02478;Merlieux-et-Fouquerolles;21910
02480;Mesbrecourt-Richecourt;23300
02481;Mesnil-Saint-Laurent;30400
02482;Meurival;N/A - résultat non disponible
02483;Mézières-sur-Oise;24540
02484;Mézy-Moulins;21980
02485;Missy-aux-Bois;30210
02486;Missy-lès-Pierrepont;N/A - résultat non disponible
02487;Missy-sur-Aisne;23870
02488;Molain;21240
02489;Molinchart;26560
02490;Monampteuil;28320
02491;Monceau-le-Neuf-et-Faucouzy;21230
02492;Monceau-lès-Leups;20550
02493;Monceau-le-Waast;22380
02494;Monceau-sur-Oise;23550
02495;Mondrepuis;21680
02496;Monnes;23670
02497;Mons-en-Laonnois;23910
02498;Montaigu;22150
02499;Montbavin;N/A - résultat non disponible
02500;Montbrehain;20690
02501;Montchâlons;N/A - résultat non disponible
02502;Montcornet;18140
02503;Mont-d'Origny;19460
02504;Montescourt-Lizerolles;21160
02505;Montfaucon;24210
02506;Montgobert;25720
02507;Montgru-Saint-Hilaire;N/A - résultat non disponible
02508;Monthenault;23470
02509;Monthiers;20750
02510;Monthurel;25900
02511;Montigny-en-Arrouaise;21250
02512;Montigny-l'Allier;23710
02513;Montigny-le-Franc;21430
02514;Montigny-Lengrain;23400
02515;Montigny-lès-Condé;N/A - résultat non disponible
02516;Montigny-sous-Marle;N/A - résultat non disponible
02517;Montigny-sur-Crécy;20050
02518;Montlevon;22420
02519;Montloué;16470
02520;Mont-Notre-Dame;22300
02521;Montreuil-aux-Lions;24450
02522;Mont-Saint-Jean;N/A - résultat non disponible
02523;Mont-Saint-Martin;N/A - résultat non disponible
02524;Mont-Saint-Père;24070
02525;Morcourt;24530
02526;Morgny-en-Thiérache;N/A - résultat non disponible
02527;Morsain;21910
02528;Mortefontaine;24150
02529;Mortiers;20830
02530;Moulins;N/A - résultat non disponible
02531;Moussy-Verneuil;21510
02532;Moÿ-de-l'Aisne;22650
02533;Muret-et-Crouttes;23960
02534;Muscourt;N/A - résultat non disponible
02535;Nampcelles-la-Cour;21060
02536;Nampteuil-sous-Muret;N/A - résultat non disponible
02537;Nanteuil-la-Fosse;20970
02538;Nanteuil-Notre-Dame;N/A - résultat non disponible
02539;Nauroy;21750
02540;Nesles-la-Montagne;24290
02541;Neufchâtel-sur-Aisne;24860
02542;Neuflieux;N/A - résultat non disponible
02543;Neuilly-Saint-Front;20960
02544;Neuve-Maison;19910
02545;La Neuville-Bosmont;20610
02546;La Neuville-en-Beine;23200
